 Latitude (deg), Longitude (deg), Altitude (km), GEO_x (km), GEO_y (km), GEO_z (km), GEO_vx (km/s), GEO_vy (km/s), GEO_vz (km/s),seu,Date,"Scalar B, nT",Lat. Angle of B (GSE),Long. Angle of B (GSE),"BX, nT (GSE, GSM)","BY, nT (GSE)","BZ, nT (GSE)","BY, nT (GSM)","BZ, nT (GSM)","SW Plasma Temperature, K","SW Plasma Speed, km/s",SW Plasma flow long. angle,SW Plasma flow lat. angle,Flow pressure,E elecrtric field,Plasma betta,Kp index,R (Sunspot No.),f10.7_index,Lyman_alpha,Proton flux (>30 Mev),Proton flux (>60 Mev),Flux FLAG
2.04,-56.112,1257.54,4254.701,-6334.636,270.247,0.060857,0.88685,6.929189,1,1381190400.0,8.2,8.4,111.9,-2.3,5.7,0.9,5.6,-1.1,51960.0,328.0,-2.8,-1.4,2.93,0.36,1.57,20,96,111.7,0.007520000000000001,0.07,0.05,-1
-16.474,168.527,844.33,-6789.204,1377.917,-2036.53,-2.697895,-0.173593,6.874721,1,1399766400.0,6.7,-8.5,309.9,3.1,-3.7,-0.7,-3.3,-1.6,77338.0,394.0,0.3,-0.2,2.0,0.59,1.34,23,150,167.7,0.008398000000000001,0.07,0.05,-1
18.854,179.287,856.71,-6848.257,85.248,2324.881,-1.82986,-0.703757,-7.108841,0,1399766400.0,6.7,-8.5,309.9,3.1,-3.7,-0.7,-3.3,-1.6,77338.0,394.0,0.3,-0.2,2.0,0.59,1.34,23,150,167.7,0.008398000000000001,0.07,0.05,-1
-7.965,-42.848,1426.22,5666.93,-5256.495,-1075.552,1.12869,-0.334645,6.707328,1,1401840000.0,5.4,-22.9,274.6,0.1,-1.6,-0.7,-1.5,-0.6,50904.0,332.0,1.0,-1.0,2.05,0.2,2.68,13,64,108.5,0.007677,0.08,0.05,-1
6.284,-157.176,1432.37,-7155.956,-3011.543,850.265,-0.477488,-0.758944,-6.742525,1,1407801600.0,7.5,-3.7,304.3,3.3,-4.8,-0.4,-4.5,1.1,177653.0,452.0,3.0,2.4,1.76,-0.55,0.97,23,75,106.8,0.007292,0.07,0.05,-1
-3.417,-53.798,1331.68,4545.641,-6210.352,-457.001,0.355576,0.409626,-6.872163,1,1417564800.0,8.7,13.2,341.0,6.6,-2.3,1.6,-1.9,1.9,70775.0,444.0,-0.1,-0.4,3.17,-0.86,0.93,17,115,149.8,0.008283,0.07,0.05,-1
-23.188,-67.904,944.23,2533.009,-6239.334,-2867.646,-0.181539,2.454329,-6.831908,1,1448323200.0,3.8,1.8,337.8,3.3,-1.4,0.1,-1.4,0.4,29252.0,296.0,-0.1,-0.2,1.05,-0.12,2.78,0,59,110.3,0.007370999999999999,0.09,0.07,-1
-22.176,-15.836,1245.97,6794.93,-1927.32,-2862.742,-2.027793,1.274434,-6.534228,1,1449446400.0,8.4,3.2,142.3,-5.4,4.1,0.4,4.2,-0.3,246156.0,590.0,2.0,1.8,2.77,0.21,0.94,33,60,97.8,0.007109000000000001,0.07,0.05,-1
16.82,-22.707,1347.81,6823.763,-2855.438,2223.835,2.114559,-0.239782,-6.521198,1,1451520000.0,12.8,-33.2,99.9,-1.0,5.9,-3.9,6.4,-3.7,136104.0,445.0,-1.2,-1.0,5.27,1.73,1.08,43,22,93.0,0.007,0.07,0.05,-1
-1.071,-91.842,1320.12,-247.411,-7692.946,-143.084,0.538459,0.280346,-6.860468,1,1451865600.0,4.8,7.8,171.8,-3.7,0.5,0.5,0.6,0.6,67338.0,427.0,1.1,-1.6,1.81,-0.25,1.73,13,70,92.2,0.006961,0.08,0.06,-1
